,0,1,2,3,4
0,,,,Cari Dönem 01.01.2022 - 31.12.2022,Önceki Dönem 01.01.2021 - 31.12.2021
1,,Kar veya Zarar ve Diğer Kapsamlı Gelir Tablosu,,,
2,Kar veya Zarar ve Diğer Kapsamlı Gelir Tablosu,,,,
3,,KAR VEYA ZARAR KISMI,,,
4,KAR VEYA ZARAR KISMI,,,,
5,,Hasılat,18.0,7.392.433.448,3.154.302.309
6,Hasılat,,,,
7,,Satışların Maliyeti,19.0,-4.906.914.702,-2.270.192.749
8,Satışların Maliyeti,,,,
9,,TİCARİ FAALİYETLERDEN BRÜT KAR (ZARAR),,2.485.518.746,884.109.560
10,TİCARİ FAALİYETLERDEN BRÜT KAR (ZARAR),,,,
11,,Finans Sektörü Faaliyetleri Hasılatı,,,
12,Finans Sektörü Faaliyetleri Hasılatı,,,,
13,,"Ücret, Prim, Komisyon ve Diğer Hizmet Gelirleri",,,
14,"Ücret, Prim, Komisyon ve Diğer Hizmet Gelirleri",,,,
15,,Kambiyo Gelirleri,,,
16,Kambiyo Gelirleri,,,,
17,,Faiz Gelirleri,,,
18,Faiz Gelirleri,,,,
19,,Kar Payı Gelirleri,,,
20,Kar Payı Gelirleri,,,,
21,,Türev Finansal İşlemlerden Kazanç,,,
22,Türev Finansal İşlemlerden Kazanç,,,,
23,,Portföy İşletmeciliği Faaliyetinden Elde Edilen Gelir,,,
24,Portföy İşletmeciliği Faaliyetinden Elde Edilen Gelir,,,,
25,,Sigortacılık Hizmetlerinden Elde Edilen Gelir,,,
26,Sigortacılık Hizmetlerinden Elde Edilen Gelir,,,,
27,,Emeklilik Hizmetlerinden Elde Edilen Gelir,,,
28,Emeklilik Hizmetlerinden Elde Edilen Gelir,,,,
29,,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Karlar,,,
30,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Karlar,,,,
31,,Finans Sektörü Faaliyetlerinden Diğer Gelirler,,,
32,Finans Sektörü Faaliyetlerinden Diğer Gelirler,,,,
33,,Finans Sektörü Faaliyetleri Maliyeti,,,
34,Finans Sektörü Faaliyetleri Maliyeti,,,,
35,,"Ücret, Prim, Komisyon ve Diğer Hizmet Giderleri",,,
36,"Ücret, Prim, Komisyon ve Diğer Hizmet Giderleri",,,,
37,,Kambiyo Giderleri,,,
38,Kambiyo Giderleri,,,,
39,,Faiz Giderleri,,,
40,Faiz Giderleri,,,,
41,,Kar Payı Giderleri,,,
42,Kar Payı Giderleri,,,,
43,,Karşılık Giderleri,,,
44,Karşılık Giderleri,,,,
45,,Türev Finansal İşlemlerden Zarar,,,
46,Türev Finansal İşlemlerden Zarar,,,,
47,,Portföy İşletmeciliği Faaliyetinden Kaynaklanan Giderler,,,
48,Portföy İşletmeciliği Faaliyetinden Kaynaklanan Giderler,,,,
49,,Sigortacılık Hizmetlerinden Kaynaklanan Giderler,,,
50,Sigortacılık Hizmetlerinden Kaynaklanan Giderler,,,,
51,,Emeklilik Hizmetlerinden Kaynaklanan Giderler,,,
52,Emeklilik Hizmetlerinden Kaynaklanan Giderler,,,,
53,,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Zararlar,,,
54,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Zararlar,,,,
55,,Finans Sektörü Faaliyetlerinden Diğer Giderler,,,
56,Finans Sektörü Faaliyetlerinden Diğer Giderler,,,,
57,,FİNANS SEKTÖRÜ FAALİYETLERİNDEN BRÜT KAR (ZARAR),,,
58,FİNANS SEKTÖRÜ FAALİYETLERİNDEN BRÜT KAR (ZARAR),,,,
59,,Canlı Varlıklar Gerçeğe Uygun Değer Farkları,,,
60,Canlı Varlıklar Gerçeğe Uygun Değer Farkları,,,,
61,,BRÜT KAR (ZARAR),,2.485.518.746,884.109.560
62,BRÜT KAR (ZARAR),,,,
63,,Genel Yönetim Giderleri,20.0,-67.521.302,-20.464.711
64,Genel Yönetim Giderleri,,,,
65,,Pazarlama Giderleri,20.0,-304.665.418,-65.601.239
66,Pazarlama Giderleri,,,,
67,,Araştırma ve Geliştirme Giderleri,20.0,-28.709.210,-22.590.286
68,Araştırma ve Geliştirme Giderleri,,,,
69,,Esas Faaliyetlerden Diğer Gelirler,21.0,600.298.061,555.210.036
70,Esas Faaliyetlerden Diğer Gelirler,,,,
71,,Esas Faaliyetlerden Diğer Giderler,21.0,-492.391.344,-324.352.881
72,Esas Faaliyetlerden Diğer Giderler,,,,
