,0,1,2,3,4,5,6
0,,,,Cari Dönem 01.01.2023 - 30.06.2023,Önceki Dönem 01.01.2022 - 30.06.2022,Cari Dönem 3 Aylık 01.04.2023 - 30.06.2023,Önceki Dönem 3 Aylık 01.04.2022 - 30.06.2022
1,,Diğer Kapsamlı Gelir Tablosu,,,,,
2,Diğer Kapsamlı Gelir Tablosu,,,,,,
3,,DÖNEM KARI (ZARARI),,9.081.431,9.240.728,6.345.397,5.537.834
4,DÖNEM KARI (ZARARI),,,,,,
5,,DİĞER KAPSAMLI GELİRLER,,,,,
6,DİĞER KAPSAMLI GELİRLER,,,,,,
7,,Kar veya Zararda Yeniden Sınıflandırılmayacaklar,,1.040.571,983.854,1.039.046,897.230
8,Kar veya Zararda Yeniden Sınıflandırılmayacaklar,,,,,,
9,,Özkaynağa Dayalı Finansal Araçlara Yatırımlardan Kaynaklanan Kazançlar (Kayıplar),,,,,
10,Özkaynağa Dayalı Finansal Araçlara Yatırımlardan Kaynaklanan Kazançlar (Kayıplar),,,,,,
11,,Maddi Duran Varlıklar Yeniden Değerleme Artışları (Azalışları),,1.125.447,1.116.159,1.138.166,1.027.949
12,Maddi Duran Varlıklar Yeniden Değerleme Artışları (Azalışları),,,,,,
13,,Maddi Olmayan Duran Varlıklar Yeniden Değerleme Artışları (Azalışları),,,,,
14,Maddi Olmayan Duran Varlıklar Yeniden Değerleme Artışları (Azalışları),,,,,,
15,,Kullanım Hakkı Varlıkları Yeniden Değerleme Artışları (Azalışları),,,,,
16,Kullanım Hakkı Varlıkları Yeniden Değerleme Artışları (Azalışları),,,,,,
17,,Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları (Kayıpları),,81.756,39.508,76.841,30.189
18,Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları (Kayıpları),,,,,,
19,,Kredi Riskindeki Değişikliğe Bağlı Olarak Finansal Yükümlülüğün Gerçeğe Uygun Değerindeki Değişiklikler,,,,,
20,Kredi Riskindeki Değişikliğe Bağlı Olarak Finansal Yükümlülüğün Gerçeğe Uygun Değerindeki Değişiklikler,,,,,,
21,,Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlara İlişkin Finansal Riskten Korunma Kazançları (Kayıpları),,,,,
22,Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlara İlişkin Finansal Riskten Korunma Kazançları (Kayıpları),,,,,,
23,,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Sınıflandırılmayacak Paylar,,6.179,1.717,5.495,2.623
24,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Sınıflandırılmayacak Paylar,,,,,,
25,,Özkaynak Yöntemiyle Değerlenen Yatırımların Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları (Kayıpları),,,,,
26,Özkaynak Yöntemiyle Değerlenen Yatırımların Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları (Kayıpları),,,,,,
27,,Özkaynak Yöntemiyle Değerlenen Yatırımların Maddi Duran Varlık Yeniden Değerleme Artışları (Azalışları),,,,,
28,Özkaynak Yöntemiyle Değerlenen Yatırımların Maddi Duran Varlık Yeniden Değerleme Artışları (Azalışları),,,,,,
29,,Özkaynak Yöntemiyle Değerlenen Yatırımların Maddi Olmayan Duran Varlık Yeniden Değerleme Artışları (Azalışları),,,,,
30,Özkaynak Yöntemiyle Değerlenen Yatırımların Maddi Olmayan Duran Varlık Yeniden Değerleme Artışları (Azalışları),,,,,,
31,,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar/Zararda Sınıflandırılmayacak Diğer Paylar,,,,,
32,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar/Zararda Sınıflandırılmayacak Diğer Paylar,,,,,,
33,,Yurtdışındaki İşletmelerin Çevrimi Dışındaki Yabancı Para Çevrim Farkları,,,,,
34,Yurtdışındaki İşletmelerin Çevrimi Dışındaki Yabancı Para Çevrim Farkları,,,,,,
35,,Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelir Unsurları,,,,,
36,Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelir Unsurları,,,,,,
37,,Kar veya Zararda Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelire İlişkin Vergiler,,-172.811,-173.530,-181.456,-163.531
38,Kar veya Zararda Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelire İlişkin Vergiler,,,,,,
39,,Dönem Vergi (Gideri) Geliri,,,,,
40,Dönem Vergi (Gideri) Geliri,,,,,,
41,,Ertelenmiş Vergi (Gideri) Geliri,,,,,
42,Ertelenmiş Vergi (Gideri) Geliri,,,,,,
43,,"Özkaynağa Dayalı Finansal Araçlara Yatırımlardan Kaynaklanan Kazançlar (Kayıplar), Vergi Etkisi",,,,,
44,"Özkaynağa Dayalı Finansal Araçlara Yatırımlardan Kaynaklanan Kazançlar (Kayıplar), Vergi Etkisi",,,,,,
45,,"Maddi Duran Varlıklar Yeniden Değerleme Artışları (Azalışları), Vergi Etkisi",,,,,
46,"Maddi Duran Varlıklar Yeniden Değerleme Artışları (Azalışları), Vergi Etkisi",,,,,,
47,,"Maddi Olmayan Duran Varlıklar Yeniden Değerleme Artışları (Azalışları), Vergi Etkisi",,,,,
48,"Maddi Olmayan Duran Varlıklar Yeniden Değerleme Artışları (Azalışları), Vergi Etkisi",,,,,,
49,,"Kullanım Hakkı Varlıkları Yeniden Değerleme Artışları (Azalışları), Vergi Etkisi",,,,,
50,"Kullanım Hakkı Varlıkları Yeniden Değerleme Artışları (Azalışları), Vergi Etkisi",,,,,,
51,,"Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları (Kayıpları), Vergi Etkisi",,,,,
52,"Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları (Kayıpları), Vergi Etkisi",,,,,,
53,,"Kredi Riskindeki Değişikliğe Bağlı Olarak Finansal Yükümlülüğün Gerçeğe Uygun Değerindeki Değişiklikler, Vergi Etkisi",,,,,
54,"Kredi Riskindeki Değişikliğe Bağlı Olarak Finansal Yükümlülüğün Gerçeğe Uygun Değerindeki Değişiklikler, Vergi Etkisi",,,,,,
55,,"Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlara İlişkin Koruma Sağlayan Finansal Riskten Korunma Araçlarından Kaynaklanan Kazançlar (Kayıplar), Vergi Etkisi",,,,,
56,"Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlara İlişkin Koruma Sağlayan Finansal Riskten Korunma Araçlarından Kaynaklanan Kazançlar (Kayıplar), Vergi Etkisi",,,,,,
57,,"Özkaynak Yöntemine Göre Muhasebeleştirilen İştirak ve İş Ortaklıklarının Kar veya Zararda Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelirlerinden Paylar, Vergi Etkisi",,,,,
58,"Özkaynak Yöntemine Göre Muhasebeleştirilen İştirak ve İş Ortaklıklarının Kar veya Zararda Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelirlerinden Paylar, Vergi Etkisi",,,,,,
59,,"Yurtdışındaki İşletmelerin Çevrimi Dışındaki Yabancı Para Çevrim Farkları, Vergi Etkisi",,,,,
60,"Yurtdışındaki İşletmelerin Çevrimi Dışındaki Yabancı Para Çevrim Farkları, Vergi Etkisi",,,,,,
61,,"Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelir Unsurları, Vergi Etkisi",,,,,
62,"Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelir Unsurları, Vergi Etkisi",,,,,,
63,,Kar veya Zarar Olarak Yeniden Sınıflandırılacaklar,,12.030.830,9.829.291,12.251.387,6.799.916
64,Kar veya Zarar Olarak Yeniden Sınıflandırılacaklar,,,,,,
65,,Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farkları,,18.465.741,9.641.502,17.111.915,6.837.828
66,Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farkları,,,,,,
67,,Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farklarından Kazançlar (Kayıplar),,,,,
68,Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farklarından Kazançlar (Kayıplar),,,,,,
69,,Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farklarındaki Yeniden Sınıflandırma Düzeltmeleri,,,,,
70,Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farklarındaki Yeniden Sınıflandırma Düzeltmeleri,,,,,,
71,,Satılmaya Hazır Finansal Varlıkların Yeniden Değerleme ve/veya Sınıflandırma Kazançları (Kayıpları),,,,,
72,Satılmaya Hazır Finansal Varlıkların Yeniden Değerleme ve/veya Sınıflandırma Kazançları (Kayıpları),,,,,,
73,,Satılmaya Hazır Finansal Varlıkların Yeniden Değerleme Kazançları (Kayıpları),,,,,
74,Satılmaya Hazır Finansal Varlıkların Yeniden Değerleme Kazançları (Kayıpları),,,,,,
75,,Satılmaya Hazır Finansal Varlıkların Yeniden Sınıflandırma Düzeltmeleri,,,,,
76,Satılmaya Hazır Finansal Varlıkların Yeniden Sınıflandırma Düzeltmeleri,,,,,,
77,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklara İlişkin Diğer Kapsamlı Gelir (Gider),,,,,
78,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklara İlişkin Diğer Kapsamlı Gelir (Gider),,,,,,
79,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklardan Kazançlar (Kayıplar),,,,,
80,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklardan Kazançlar (Kayıplar),,,,,,
81,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklardaki Yeniden Sınıflandırma Düzeltmeleri,,,,,
82,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklardaki Yeniden Sınıflandırma Düzeltmeleri,,,,,,
