,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,,,,,,,,,,,,,,,,,
1,,,,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,
2,,,,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,,,
3,,,,Kar veya Zararda Yeniden Sınıflandırılmayacak Birikmiş Diğer Kapsamlı Gelirler veya Giderler,,Kar veya Zararda Yeniden Sınıflandırılacak Birikmiş Diğer Kapsamlı Gelirler veya Giderler,Kar veya Zararda Yeniden Sınıflandırılacak Birikmiş Diğer Kapsamlı Gelirler veya Giderler,,Birikmiş Karlar,Birikmiş Karlar,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,,Önceki Dönem 01.01.2022 - 31.03.2022,,,,,,,,,,,,,,,,,
7,Özkaynaklar Değişim Tablosu,Önceki Dönem 01.01.2022 - 31.03.2022,,,,,,,,,,,,,,,,,
8,Özkaynaklar Değişim Tablosu,Önceki Dönem 01.01.2022 - 31.03.2022,,,,,,,,,,,,,,,,,
9,Özkaynaklar Değişim Tablosu,Önceki Dönem 01.01.2022 - 31.03.2022,,,,,,,,,,,,,,,,,
10,Özkaynaklar Değişim Tablosu,Önceki Dönem 01.01.2022 - 31.03.2022,,,,,,,,,,,,,,,,,
11,Dönem Başı Bakiyeler,Önceki Dönem 01.01.2022 - 31.03.2022,,3.063.214,320.075,-39.213,167.048,,6.139.201,,,9.213.439,1.517.852,10.379.285,9.040.197,,39.801.098,13.128.127,52.929.225
12,Dönem Başı Bakiyeler,Önceki Dönem 01.01.2022 - 31.03.2022,,,,,,,,,,,,,,,,,
13,Muhasebe Politikalarındaki Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2022 - 31.03.2022,,,,,,,,,,,,,,,,,
14,Muhasebe Politikalarındaki Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2022 - 31.03.2022,,,,,,,,,,,,,,,,,
15,Muhasebe Politikalarındaki Zorunlu Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2022 - 31.03.2022,,,,,,,,,,,,,,,,,
16,Muhasebe Politikalarındaki Zorunlu Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2022 - 31.03.2022,,,,,,,,,,,,,,,,,
17,Muhasebe Politikalarındaki Gönüllü Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2022 - 31.03.2022,,,,,,,,,,,,,,,,,
