,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,,,,,,,,,,,,,,,,,
1,,,,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,
2,,,,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,,,
3,,,,Kar veya Zararda Yeniden Sınıflandırılmayacak Birikmiş Diğer Kapsamlı Gelirler veya Giderler,,Kar veya Zararda Yeniden Sınıflandırılacak Birikmiş Diğer Kapsamlı Gelirler veya Giderler,Kar veya Zararda Yeniden Sınıflandırılacak Birikmiş Diğer Kapsamlı Gelirler veya Giderler,,Birikmiş Karlar,Birikmiş Karlar,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,,Önceki Dönem 01.01.2021 - 30.09.2021,,,,,,,,,,,,,,,,,
7,Özkaynaklar Değişim Tablosu,Önceki Dönem 01.01.2021 - 30.09.2021,,,,,,,,,,,,,,,,,
8,Özkaynaklar Değişim Tablosu,Önceki Dönem 01.01.2021 - 30.09.2021,,,,,,,,,,,,,,,,,
9,Özkaynaklar Değişim Tablosu,Önceki Dönem 01.01.2021 - 30.09.2021,,,,,,,,,,,,,,,,,
10,Özkaynaklar Değişim Tablosu,Önceki Dönem 01.01.2021 - 30.09.2021,,,,,,,,,,,,,,,,,
11,Dönem Başı Bakiyeler,Önceki Dönem 01.01.2021 - 30.09.2021,,3.063.214,320.075,0,167.048,,2.564.583,,,3.525.321,1.517.852,8.898.265,2.138.037,,22.194.395,296.838,22.491.233
12,Dönem Başı Bakiyeler,Önceki Dönem 01.01.2021 - 30.09.2021,,,,,,,,,,,,,,,,,
13,Muhasebe Politikalarındaki Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 30.09.2021,,,,,,,,,,,,,,,,,0
14,Muhasebe Politikalarındaki Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 30.09.2021,,,,,,,,,,,,,,,,,
15,Muhasebe Politikalarındaki Zorunlu Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 30.09.2021,,,,,,,,,,,,,,,,,0
16,Muhasebe Politikalarındaki Zorunlu Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 30.09.2021,,,,,,,,,,,,,,,,,
17,Muhasebe Politikalarındaki Gönüllü Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 30.09.2021,,,,,,,,,,,,,,,,,0
