,0,1,2,3,4,5,6,7
0,,,,Cari Dönem 01.01.2022 - 30.09.2022,Önceki Dönem 01.01.2021 - 30.09.2021,Cari Dönem 3 Aylık 01.07.2022 - 30.09.2022,Önceki Dönem 3 Aylık 01.07.2021 - 30.09.2021,
1,,Kar veya Zarar Tablosu,,,,,,
2,Kar veya Zarar Tablosu,,,,,,,
3,,KAR VEYA ZARAR KISMI,,,,,,
4,KAR VEYA ZARAR KISMI,,,,,,,
5,,Hasılat,21,66.279.449,21.012.921,26.046.972,8.235.521,
6,Hasılat,,,,,,,
7,,Finans Sektörü Faaliyetleri Hasılatı,,,,,,
8,Finans Sektörü Faaliyetleri Hasılatı,,,,,,,
9,,"Ücret, Prim, Komisyon ve Diğer Hizmet Gelirleri",,,,,,
10,"Ücret, Prim, Komisyon ve Diğer Hizmet Gelirleri",,,,,,,
11,,Kambiyo Gelirleri,,,,,,
12,Kambiyo Gelirleri,,,,,,,
13,,Faiz Gelirleri,,,,,,
14,Faiz Gelirleri,,,,,,,
15,,Kar Payı Gelirleri,,,,,,
16,Kar Payı Gelirleri,,,,,,,
17,,Türev Finansal İşlemlerden Kazanç,,,,,,
18,Türev Finansal İşlemlerden Kazanç,,,,,,,
19,,Portföy İşletmeciliği Faaliyetinden Elde Edilen Gelir,,,,,,
20,Portföy İşletmeciliği Faaliyetinden Elde Edilen Gelir,,,,,,,
21,,Sigortacılık Hizmetlerinden Elde Edilen Gelir,,,,,,
22,Sigortacılık Hizmetlerinden Elde Edilen Gelir,,,,,,,
23,,Emeklilik Hizmetlerinden Elde Edilen Gelir,,,,,,
24,Emeklilik Hizmetlerinden Elde Edilen Gelir,,,,,,,
25,,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Karlar,,,,,,
26,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Karlar,,,,,,,
27,,Finans Sektörü Faaliyetlerinden Diğer Gelirler,,,,,,
28,Finans Sektörü Faaliyetlerinden Diğer Gelirler,,,,,,,
29,,TOPLAM HASILAT,,,,,,
30,TOPLAM HASILAT,,,,,,,
31,,Satışların Maliyeti,21,-40.754.662,-13.580.740,-16.163.791,-5.356.020,
32,Satışların Maliyeti,,,,,,,
33,,Finans Sektörü Faaliyetleri Maliyeti,,,,,,
34,Finans Sektörü Faaliyetleri Maliyeti,,,,,,,
35,,"Ücret, Prim, Komisyon ve Diğer Hizmet Giderleri",,,,,,
36,"Ücret, Prim, Komisyon ve Diğer Hizmet Giderleri",,,,,,,
37,,Kambiyo Giderleri,,,,,,
38,Kambiyo Giderleri,,,,,,,
39,,Faiz Giderleri,,,,,,
40,Faiz Giderleri,,,,,,,
41,,Kar Payı Giderleri,,,,,,
42,Kar Payı Giderleri,,,,,,,
43,,Karşılık Giderleri,,,,,,
44,Karşılık Giderleri,,,,,,,
45,,Türev Finansal İşlemlerden Zarar,,,,,,
46,Türev Finansal İşlemlerden Zarar,,,,,,,
47,,Portföy İşletmeciliği Faaliyetinden Kaynaklanan Giderler,,,,,,
48,Portföy İşletmeciliği Faaliyetinden Kaynaklanan Giderler,,,,,,,
49,,Sigortacılık Hizmetlerinden Kaynaklanan Giderler,,,,,,
50,Sigortacılık Hizmetlerinden Kaynaklanan Giderler,,,,,,,
51,,Emeklilik Hizmetlerinden Kaynaklanan Giderler,,,,,,
52,Emeklilik Hizmetlerinden Kaynaklanan Giderler,,,,,,,
53,,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Zararlar,,,,,,
54,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Zararlar,,,,,,,
55,,Finans Sektörü Faaliyetlerinden Diğer Giderler,,,,,,
56,Finans Sektörü Faaliyetlerinden Diğer Giderler,,,,,,,
57,,TOPLAM MALİYETLER,,,,,,
58,TOPLAM MALİYETLER,,,,,,,
59,,TİCARİ FAALİYETLERDEN BRÜT KAR (ZARAR),,25.524.787,7.432.181,9.883.181,2.879.501,
60,TİCARİ FAALİYETLERDEN BRÜT KAR (ZARAR),,,,,,,
61,,FİNANS SEKTÖRÜ FAALİYETLERİNDEN BRÜT KAR (ZARAR),,,,,,
62,FİNANS SEKTÖRÜ FAALİYETLERİNDEN BRÜT KAR (ZARAR),,,,,,,
63,,Canlı Varlıklar Gerçeğe Uygun Değer Farkları,,,,,,
64,Canlı Varlıklar Gerçeğe Uygun Değer Farkları,,,,,,,
65,,BRÜT KAR (ZARAR),,25.524.787,7.432.181,9.883.181,2.879.501,
66,BRÜT KAR (ZARAR),,,,,,,
67,,Genel Yönetim Giderleri,22,-3.249.019,-988.099,-1.365.949,-357.303,
68,Genel Yönetim Giderleri,,,,,,,
69,,Pazarlama Giderleri,22,-9.420.895,-2.657.097,-3.928.210,-1.024.479,
70,Pazarlama Giderleri,,,,,,,
71,,Araştırma ve Geliştirme Giderleri,22,-132.840,-75.883,-61.162,-23.845,
72,Araştırma ve Geliştirme Giderleri,,,,,,,
73,,Esas Faaliyetlerden Diğer Gelirler,23,4.070.134,1.249.889,731.218,129.899,
74,Esas Faaliyetlerden Diğer Gelirler,,,,,,,
75,,Esas Faaliyetlerden Diğer Giderler,23,-2.642.181,-973.796,-5.608,-168.531,
76,Esas Faaliyetlerden Diğer Giderler,,,,,,,
77,,Özkaynak Yöntemiyle Değerlenen Yatırımların Karlarından (Zararlarından) Paylar,13,158.067,160.197,-234.191,51.201,
